Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-12 00:35:31,A,44199.01,45000,0,0
2024-10-12 00:35:50,B,43749.01,45000,0,0
2024-10-12 00:36:16,A,43299.01,45000,1,0
2024-10-12 00:36:44,B,42849.01,45000,2,0
2024-10-12 00:37:11,A,41949.01,45000,3,0
2024-10-12 00:37:36,B,40599.01,45000,5,0
2024-10-12 00:38:02,B,38799.01,45000,6,0
2024-10-12 00:38:27,A,32949.01,45000,7,0
2024-10-12 00:38:53,A,42399.01,45000,5,1
2024-10-12 00:39:19,B,41499.01,45000,6,0
2024-10-12 00:39:50,B,42849.01,45000,4,1
2024-10-12 00:40:13,A,41949.01,45000,5,0
2024-10-12 00:40:42,B,40599.01,45000,6,0
