2024-08-25 03:21:31,022 - INFO - exchangeTSL.py - 244 - Starting value: 20476.08
2024-08-25 03:21:31,022 - INFO - exchangeTSL.py - 245 - Target amount: 20900
2024-08-25 03:21:31,023 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-25 03:22:05,323 - INFO - exchangeTSL.py - 198 - B,20476.08,20900,0,0
2024-08-25 03:22:54,443 - INFO - exchangeTSL.py - 198 - B,20476.08,20900,1,0
2024-08-25 03:23:49,980 - INFO - exchangeTSL.py - 186 - A,20426.08,20900,0,1
2024-08-25 03:24:40,003 - INFO - exchangeTSL.py - 198 - B,20521.08,20900,0,2
2024-08-25 03:25:21,894 - INFO - exchangeTSL.py - 198 - B,20568.58,20900,1,0
2024-08-25 03:26:17,079 - INFO - exchangeTSL.py - 198 - B,20518.58,20900,2,0
2024-08-25 03:27:05,018 - INFO - exchangeTSL.py - 198 - B,20418.58,20900,3,0
2024-08-25 03:27:54,918 - INFO - exchangeTSL.py - 186 - A,20218.58,20900,0,1
2024-08-25 03:28:44,355 - INFO - exchangeTSL.py - 186 - A,20598.58,20900,0,2
2024-08-25 03:29:33,438 - INFO - exchangeTSL.py - 198 - B,20646.08,20900,1,0
2024-08-25 03:30:22,731 - INFO - exchangeTSL.py - 186 - A,20596.08,20900,0,1
2024-08-25 03:31:17,950 - INFO - exchangeTSL.py - 198 - B,20691.08,20900,0,2
2024-08-25 03:32:08,354 - INFO - exchangeTSL.py - 186 - A,20738.58,20900,0,3
2024-08-25 03:33:01,943 - INFO - exchangeTSL.py - 198 - B,20786.08,20900,1,0
2024-08-25 03:33:49,161 - INFO - exchangeTSL.py - 186 - A,20736.08,20900,0,1
2024-08-25 03:34:49,531 - INFO - exchangeTSL.py - 186 - A,20831.08,20900,1,0
2024-08-25 03:35:38,454 - INFO - exchangeTSL.py - 198 - B,20781.08,20900,2,0
2024-08-25 03:36:29,741 - INFO - exchangeTSL.py - 186 - A,20681.08,20900,3,0
2024-08-25 03:37:23,713 - INFO - exchangeTSL.py - 198 - B,20481.08,20900,4,0
2024-08-25 03:38:10,462 - INFO - exchangeTSL.py - 186 - A,20081.08,20900,0,1
2024-08-25 03:39:01,633 - INFO - exchangeTSL.py - 186 - A,20841.08,20900,0,2
2024-08-25 03:39:50,707 - INFO - exchangeTSL.py - 186 - A,20888.58,20900,0,3
