Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,21093.58,21600,0,0
B,21093.58,21600,1,0
A,21043.58,21600,0,1
A,21138.58,21600,1,0
B,21088.58,21600,2,0
A,20988.58,21600,3,0
B,20788.58,21600,4,0
A,20388.58,21600,0,1
A,21098.58,21600,0,2
A,21196.08,21600,0,3
B,21243.58,21600,0,4
B,21291.08,21600,0,5
B,21338.58,21600,1,0
B,21288.58,21600,0,1
A,21383.58,21600,1,0
A,21333.58,21600,0,1
B,21428.58,21600,1,0
B,21378.58,21600,0,1
A,21473.58,21600,1,0
A,21423.58,21600,0,1
B,21518.58,21600,1,0
B,21468.58,21600,0,1
B,21563.58,21600,0,2
