Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-17 22:16:33,B,13830.6,15000,0,0
2024-09-17 22:17:19,B,13780.6,15000,1,0
2024-09-17 22:18:01,A,13780.6,15000,2,0
2024-09-17 22:18:52,B,13580.6,15000,3,0
2024-09-17 22:20:24,B,13723.1,15000,1,1
2024-09-17 22:21:05,B,13723.1,15000,1,2
2024-09-17 22:21:53,B,13818.1,15000,1,3
2024-09-17 22:22:35,B,13818.1,15000,1,4
2024-09-17 22:24:10,B,13913.1,15000,1,5
2024-09-17 22:24:55,B,13913.1,15000,2,0
2024-09-17 22:25:39,A,13863.1,15000,0,1
2024-09-17 22:27:54,B,13908.1,15000,1,0
2024-09-17 22:28:40,B,13908.1,15000,2,0
2024-09-17 22:29:21,A,13808.1,15000,0,1
2024-09-17 22:31:55,B,13950.6,15000,0,2
2024-09-17 22:36:02,B,13998.1,15000,0,0
2024-09-17 22:36:55,B,14045.6,15000,0,1
2024-09-17 22:37:44,A,14093.1,15000,0,2
2024-09-17 22:40:19,B,14043.1,15000,1,0
2024-09-17 22:41:04,B,14138.1,15000,1,1
2024-09-17 22:41:59,A,14088.1,15000,2,0
